E415_C6166_PTPROT/x81PTRC7$ST$Tr$general,0:복귀1:동작
E415_C6166_PTCTRL/x81CGGIO10$ST$SPCSO1$stVal,0:정지1:운전
E415_C6166_PTCTRL/x81CGGIO10$ST$SPCSO2$stVal,0:정지1:운전
E415_C6166_PTCTRL/x81CGGIO10$ST$SPCSO3$stVal,0:정지1:운전
E415_C6166_PTCTRL/x81CGGIO10$ST$SPCSO4$stVal,0:정지1:운전
E415_C6166_PTCTRL/x81CGGIO10$ST$SPCSO5$stVal,0:정지1:운전
E415_C6166_PTCTRL/x81CGGIO10$ST$SPCSO6$stVal,0:정지1:운전
E415_C6166_PTCTRL/x81CGGIO10$ST$SPCSO7$stVal,0:정지1:운전
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind16$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind17$stVal,0:복귀1:동작
E415_C6166_PTPROT/BUSGGIO8$ST$Alm1$stVal,0:사선1:활선
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind24$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind25$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind26$stVal,0:복귀1:동작
E415_C6166_PTPROT/BUSGGIO8$ST$Alm5$stVal,0:사선1:활선
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind27$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind28$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind29$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind54$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind53$stVal,0:복귀1:동작
E415_C6166_PTPROT/RDRE1$ST$RcdMade$stVal,0:복귀1:동작
E415_C6166_PTCTRL/GOSFGGIO11$ST$Ind1$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind59$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind64$stVal,0:동작1:해제
E415_C6166_PTCTRL/LLN0$ST$Loc$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind30$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind31$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind32$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind33$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind34$stVal,0:복귀1:동작
E415_C6166_PTCTRL/VSTSGGIO6$ST$Ind35$stVal,0:복귀1:동작
E415_C6166_PTCTRL/Q91CILO5$ST$EnaCls$stVal,0:복귀1:동작
E415_C6166_PTCTRL/Q92CILO6$ST$EnaCls$stVal,0:복귀1:동작
E415_C6100CTRL/LPHD1$ST$PhyHealth$stVal,1:정상3:비정상
E415_C6100CTRL/COMMGGIO2$ST$Ind1$stVal,0:비정상1:정상
E415_C6100CTRL/COMMGGIO2$ST$Ind2$stVal,0:비정상1:정상
E415_C6100CTRL/LLN0$ST$Loc$stVal,0:Remote1:Local
E415_C6100CTRL/Q0XCBR1$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6100CTRL/Q1XSWI1$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6100CTRL/Q2XSWI2$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6100CTRL/Q91XSWI4$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6100CTRL/Q92XSWI5$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6100CTRL/Q0CILO1$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6100CTRL/Q0CILO1$ST$EnaCls$stVal,0:잠김1:해제
E415_C6100CTRL/Q1CILO2$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6100CTRL/Q1CILO2$ST$EnaCls$stVal,0:잠김1:해제
E415_C6100CTRL/Q2CILO3$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6100CTRL/Q2CILO3$ST$EnaCls$stVal,0:잠김1:해제
E415_C6100CTRL/Q91CILO5$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6100CTRL/Q91CILO5$ST$EnaCls$stVal,0:잠김1:해제
E415_C6100CTRL/Q92CILO6$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6100CTRL/Q92CILO6$ST$EnaCls$stVal,0:잠김1:해제
E415_C6100CTRL/VSTSGGIO6$ST$Ind54$stVal,0:복귀1:동작
E415_C6100CTRL/VSTSGGIO6$ST$Ind53$stVal,0:복귀1:동작
E415_C6100CTRL/GOSFGGIO11$ST$Ind1$stVal,0:복귀1:동작
E415_C6100CTRL/VSTSGGIO6$ST$Ind59$stVal,0:복귀1:동작
E415_C6100CTRL/VSTSGGIO6$ST$Ind64$stVal,0:동작1:해제
E415_C6100CTRL/Q0SIMG1$ST$PresAlm$stVal,0:복귀1:동작
E415_C6100CTRL/Q0SIMG6$ST$PresAlm$stVal,0:복귀1:동작
E415_C6100CTRL/Q1SIMG2$ST$PresAlm$stVal,0:복귀1:동작
E415_C6100CTRL/Q1SIMG7$ST$PresAlm$stVal,0:복귀1:동작
E415_C6100CTRL/Q2SIMG3$ST$PresAlm$stVal,0:복귀1:동작
E415_C6100CTRL/Q2SIMG8$ST$PresAlm$stVal,0:복귀1:동작
E415_C6100CTRL/Q1PHSIMG15$ST$PresAlm$stVal,0:복귀1:동작
E415_C6100CTRL/Q2PHSIMG16$ST$PresAlm$stVal,0:복귀1:동작
E415_C6100CTRL/VSTSGGIO6$ST$Ind45$stVal,0:복귀1:동작
E415_C6100CTRL/EXTDIGGIO7$ST$Ind28$stVal,0:복귀1:동작
E415_C6100CTRL/EXTDIGGIO7$ST$Ind29$stVal,0:복귀1:동작
E415_C6100CTRL/EXTDIGGIO7$ST$Ind25$stVal,0:복귀1:동작
E415_C6100CTRL/EXTDIGGIO7$ST$Ind26$stVal,0:복귀1:동작
E415_C6100CTRL/EXTDIGGIO7$ST$Ind53$stVal,0:복귀1:동작
E415_C6100CTRL/EXTDIGGIO7$ST$Ind31$stVal,"0:복귀,1:동작"
E415_C6200CTRL/LPHD1$ST$PhyHealth$stVal,1:정상3:비정상
E415_C6200CTRL/COMMGGIO2$ST$Ind1$stVal,0:비정상1:정상
E415_C6200CTRL/COMMGGIO2$ST$Ind2$stVal,0:비정상1:정상
E415_C6200CTRL/LLN0$ST$Loc$stVal,0:Remote1:Local
E415_C6200CTRL/Q0XCBR1$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6200CTRL/Q1XSWI1$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6200CTRL/Q2XSWI2$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6200CTRL/Q91XSWI4$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6200CTRL/Q92XSWI5$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6200CTRL/Q0CILO1$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6200CTRL/Q0CILO1$ST$EnaCls$stVal,0:잠김1:해제
E415_C6200CTRL/Q1CILO2$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6200CTRL/Q1CILO2$ST$EnaCls$stVal,0:잠김1:해제
E415_C6200CTRL/Q2CILO3$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6200CTRL/Q2CILO3$ST$EnaCls$stVal,0:잠김1:해제
E415_C6200CTRL/Q91CILO5$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6200CTRL/Q91CILO5$ST$EnaCls$stVal,0:잠김1:해제
E415_C6200CTRL/Q92CILO6$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6200CTRL/Q92CILO6$ST$EnaCls$stVal,0:잠김1:해제
E415_C6200CTRL/VSTSGGIO6$ST$Ind54$stVal,0:복귀1:동작
E415_C6200CTRL/VSTSGGIO6$ST$Ind53$stVal,0:복귀1:동작
E415_C6200CTRL/GOSFGGIO11$ST$Ind1$stVal,0:복귀1:동작
E415_C6200CTRL/VSTSGGIO6$ST$Ind59$stVal,0:복귀1:동작
E415_C6200CTRL/VSTSGGIO6$ST$Ind64$stVal,0:동작1:해제
E415_C6200CTRL/Q0SIMG1$ST$PresAlm$stVal,0:복귀1:동작
E415_C6200CTRL/Q0SIMG6$ST$PresAlm$stVal,0:복귀1:동작
